,model,gini
12,SeaLLM-7B-v2.5,0.06856493831949435
10,aya-101,0.06941491128765592
6,mt0-xl,0.0744491577594445
0,gpt-4,0.10122223107897182
11,sea-lion-7b-instruct-research,0.1020573582506424
13,Sailor-7B-Chat,0.11265721019957302
3,Meta-Llama-3-8B-Instruct,0.11302754851226589
5,Qwen-7B-Chat,0.12206109534303763
1,command-r,0.1255546823745352
17,LLaMa3-8b-WangchanX-sft-Demo,0.13055064350362797
9,aya-23-8B,0.13499024830822512
18,malaysian-llama-3-8b-instruct-16k,0.1432703831784282
15,cendol-llama2-7b,0.14869994667177344
8,bactrian-x-llama-7b-merged,0.14890334708150507
2,Mistral-7B-Instruct-v0.2,0.15044690287929607
16,Merak-7B-v4,0.1554027322751361
7,bloomz-7b1,0.1674332783951557
14,cendol-mt5-xl,0.19997019458331441
4,falcon-7b-instruct,0.21110403268476252
