,model,gini
9,aya-101,0.10861416969285416
11,SeaLLM-7B-v2.5,0.13325418587365234
3,Meta-Llama-3-8B-Instruct,0.13683503473185035
5,mt0-xl,0.14781550958710396
12,Sailor-7B-Chat,0.15110858830724475
2,Mistral-7B-Instruct-v0.2,0.15970818008583415
16,LLaMa3-8b-WangchanX-sft-Demo,0.16107895528220656
7,bactrian-x-llama-7b-merged,0.16243007465014797
17,malaysian-llama-3-8b-instruct-16k,0.18061770579235636
8,aya-23-8B,0.18215118557688983
0,gpt-4,0.1915574895621472
1,command-r,0.19801830879195978
15,Merak-7B-v4,0.20744495230959542
6,bloomz-7b1,0.2360227701224916
10,sea-lion-7b-instruct-research,0.24236183230690725
4,falcon-7b-instruct,0.27152806731414764
14,cendol-llama2-7b,0.2903361948222648
13,cendol-mt5-xl,0.40386582247187086
