,model,gini
10,aya-101,0.08497842056745461
12,SeaLLM-7B-v2.5,0.09721093496700921
6,mt0-xl,0.11181727466274102
3,Meta-Llama-3-8B-Instruct,0.12855715705984033
13,Sailor-7B-Chat,0.1387571903229283
5,Qwen-7B-Chat,0.14294720571217764
17,LLaMa3-8b-WangchanX-sft-Demo,0.1501602893307919
2,Mistral-7B-Instruct-v0.2,0.16236563149313954
11,sea-lion-7b-instruct-research,0.16409166052808
0,gpt-4,0.16425044017153007
1,command-r,0.16751714019365732
8,bactrian-x-llama-7b-merged,0.16765801044875683
18,malaysian-llama-3-8b-instruct-16k,0.17565046829703682
9,aya-23-8B,0.17882506829928918
16,Merak-7B-v4,0.18968824425290587
7,bloomz-7b1,0.21731207295256597
15,cendol-llama2-7b,0.23230614878812017
4,falcon-7b-instruct,0.25031315318333514
14,cendol-mt5-xl,0.32822866869792094
